t_ns,attempts_total,attempts_per_s
125580059792063,365935,365935
125581059792845,778108,412173
125582059793808,1193987,415879
125583059792887,1609947,415960
125584059792747,1977820,367873
125585063193939,2350505,372685
125586059792488,2710009,359504
125587059791950,3128528,418519
125588059791758,3547474,418946
125589059793073,3964016,416542
125590059793173,4384941,420925
125591059792434,4807077,422136
125592059791719,5217981,410904
125593059791886,5639086,421105
125594059792861,6056942,417856
125595059799304,6458827,401885
125596059791783,6868555,409728
125597059793409,7272885,404330
125598059793626,7686771,413886
