timestamp,merkle_root,latency_s,difficulty,records_sealed
1766863750.7418222,e91ed7b41bba387e3217ec6f89606182ced4542d3a93354f7c5981b33df96ca7,5.541087500052527,0.08,5
1766863797.2531757,57d004e559985564a58500a860bbd339ca002e5e3b0bf2c507492372603d62c5,6.462369299959391,0.08,5
1766863808.8407376,c900c07b1f91234363c681184c6026a84977a5b2bae270de284a036c71650d4a,1.5818039000732824,0.08,5
1766863814.6536548,a6bf7d4527cecf07bc0d49001e7ceffcd96bfdb77dfea30adc29eb0d90e24c70,5.812129899975844,0.08,5
1766863833.5776732,810205983eb41b993a6a8aceedbc7cec3d5ba660346e134b10ca0d46668eede2,8.908317200024612,0.08,5
1766863839.5176065,398e23ab5426aa6e3965d38214a5b1b63f942f3c8b3c4542331c4464ba5893ab,5.939048700034618,0.08,5
1766863845.8847187,12096799d0213061204e68166c1bc9928f14ae768cddfcfa6c0f4935d60e15f1,6.3662165000569075,0.08,5
1766863859.1672337,29ae13faa4c11d095be99a165726838fc54ff0a01d8bff2755788c75d215d480,3.272361599956639,0.08,5
1766863860.0776527,0c0fe5b4b793000d02bfe2d5436fafdaa97b9c5efaa5c83e208e5ec3240dbd10,0.9095640999730676,0.08,5
1766863867.2000852,3d5faed8d89d55b3545fae49461ad45c9758a58eec3d10f653456e75225f800f,7.121586499968544,0.08,5
